,Name,Address,Lat,Lon,Type,Business_Status,Icon,Times,Price_Level,Rating,ID,Photo Reference
376,Upper Market Gallery,"4690 18th Street, San Francisco",37.7605072,-122.4432515,point_of_interest,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJIcsDczd_j4AR2ers3EXIxXY,ARywPAKgJTDdL8CeS41xih3zMoD8xZPnIf7kmJ5n7q1SyBdJ3wxTpEJeCZulkAnDRvfxs1q4HjwIMCypr42CUZwvybxZNOdYBK30OGVktpIj9jrz2XxDHwClue_0IvporgnDf8KkzlkKSmKR2JMqK3JD8OdcPGQnO0ePFxQLB11zv6-Gu8FJ
377,Upper Market Gallery,"4690 18th Street, San Francisco",37.7605072,-122.4432515,establishment,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJIcsDczd_j4AR2ers3EXIxXY,ARywPAKgJTDdL8CeS41xih3zMoD8xZPnIf7kmJ5n7q1SyBdJ3wxTpEJeCZulkAnDRvfxs1q4HjwIMCypr42CUZwvybxZNOdYBK30OGVktpIj9jrz2XxDHwClue_0IvporgnDf8KkzlkKSmKR2JMqK3JD8OdcPGQnO0ePFxQLB11zv6-Gu8FJ
378,Queer Arts Featured,"575 Castro Street, San Francisco",37.7597602,-122.4346696,art_gallery,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJIQXQDMl_j4ARDpppPP5dIsc,ARywPAKpIZPdupS0c1eOsf8kqbSiLtm7dQV3WK2uw5OBXPoI16fJZNYPtjweRp1MB03hk18q2RkOwBpfQQwomu3k22VdmS4sd4b-_5zSqMyShdq5sl1cIaq813Nlj4FUNlucVtmZHnHRIJ-iSuwTsjo12lIlJ05gmWXuBO-t8FLoo4b7hVy_
379,Queer Arts Featured,"575 Castro Street, San Francisco",37.7597602,-122.4346696,point_of_interest,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJIQXQDMl_j4ARDpppPP5dIsc,ARywPAKpIZPdupS0c1eOsf8kqbSiLtm7dQV3WK2uw5OBXPoI16fJZNYPtjweRp1MB03hk18q2RkOwBpfQQwomu3k22VdmS4sd4b-_5zSqMyShdq5sl1cIaq813Nlj4FUNlucVtmZHnHRIJ-iSuwTsjo12lIlJ05gmWXuBO-t8FLoo4b7hVy_
380,Queer Arts Featured,"575 Castro Street, San Francisco",37.7597602,-122.4346696,establishment,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJIQXQDMl_j4ARDpppPP5dIsc,ARywPAKpIZPdupS0c1eOsf8kqbSiLtm7dQV3WK2uw5OBXPoI16fJZNYPtjweRp1MB03hk18q2RkOwBpfQQwomu3k22VdmS4sd4b-_5zSqMyShdq5sl1cIaq813Nlj4FUNlucVtmZHnHRIJ-iSuwTsjo12lIlJ05gmWXuBO-t8FLoo4b7hVy_
381,Joe Loux,"594 Clipper Street, San Francisco",37.7488028,-122.4381137,art_gallery,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,,ChIJ7b7bHQ1-j4ARM3R6aHxECrU,
382,Joe Loux,"594 Clipper Street, San Francisco",37.7488028,-122.4381137,point_of_interest,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,,ChIJ7b7bHQ1-j4ARM3R6aHxECrU,
383,Joe Loux,"594 Clipper Street, San Francisco",37.7488028,-122.4381137,establishment,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,,ChIJ7b7bHQ1-j4ARM3R6aHxECrU,
384,ArtSavesLives Studio and Gallery,"518 Castro Street, San Francisco",37.7605194,-122.4352061,art_gallery,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJiyk_LBt-j4ARN-15u_UKYEI,ARywPAIqlHexnN0EfVwEI-1h5mq6gDTP8w41imfYFNTBtlaXpHTJ4fedY0Qv1JScm51ZhdUK0U_Lbckhq3X27WIGIKrVdy5HErRT7j9VmPJlitEXbwsNJR1Rqh3EpKKzkJKR7TFpvBEFb7TOqSj08R2E-zyoFVf67-W-oSl3wgdUtFO3g_o1
385,ArtSavesLives Studio and Gallery,"518 Castro Street, San Francisco",37.7605194,-122.4352061,point_of_interest,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJiyk_LBt-j4ARN-15u_UKYEI,ARywPAIqlHexnN0EfVwEI-1h5mq6gDTP8w41imfYFNTBtlaXpHTJ4fedY0Qv1JScm51ZhdUK0U_Lbckhq3X27WIGIKrVdy5HErRT7j9VmPJlitEXbwsNJR1Rqh3EpKKzkJKR7TFpvBEFb7TOqSj08R2E-zyoFVf67-W-oSl3wgdUtFO3g_o1
